Chromosome	Start	Stop	Strand	Gene Symbol	CO09_D1	CO05_D1	CO25_D1X	CO35_D1	CO40_D1	CO13_D1B	CO19_D1	CO37_D1	CO01_D1	CO11_D1	CO17_D1	CO22_D1	CO30_D1B	CO10_D1
20	34824339	34844864	+	AAR2	2.68164	2.99091	3.47327	3.75663	2.14331	2.46845	3.36548	2.80552	3.39444	2.43828	1.97347	1.66211	4.73521	3.74606
16	70286297	70323413	-	AARS1	5.69482	6.04034	8.22373	7.64281	9.0389	5.1569	3.15259	6.3661	8.81031	6.93102	10.4403	9.62913	2.66417	6.79928
6	44266468	44281085	-	AARS2	0.73381	1.19256	1.12786	0.837138	1.27528	1.26994	0.518316	1.45654	1.89311	1.27462	0.97249	0.542444	0.935987	1.30615
17	41102543	41116472	-	AARSD1	0.0604952	0.249073	0.535692	0.460184	0.283426	0.931697	0.132746	0.342303	0.17122	0.274552	0.190879	0.03454	0.502721	0.00597296
4	57204451	57253675	-	AASDH	3.81912	6.37879	4.40128	14.0067	5.47028	4.82798	9.93873	5.38611	5.34083	3.86314	3.28911	4.02474	8.98538	8.846
11	105948389	105969423	+	AASDHPPT	5.69845	8.82159	9.43101	14.2776	7.45793	7.08009	11.5234	8.88011	7.03567	7.31245	6.50699	5.46588	15.6231	6.5765
7	121713604	121784304	-	AASS	0.759182	1.423	1.12276	1.68307	1.69003	0.211541	0.998899	1.20323	0.52733	0.550785	0.60336	0.543172	0.639925	1.16423
21	45225639	45232449	-	AATBC	3.84206	4.34327	2.69732	0.845175	1.16893	2.73019	0.738327	2.85581	3.18296	1.95886	1.07797	2.68908	0.493183	1.93637
17	35306254	35414172	+	AATF	19.4493	7.92728	11.1918	6.58884	9.40131	11.2438	8.37548	10.6771	12.4582	13.7961	15.2559	10.3778	9.78412	7.88891
17	79091096	79140022	-	AATK	51.4081	6.5066	7.03059	4.64472	10.5035	11.9622	18.6248	6.69085	10.4751	20.9674	15.977	10.636	14.5997	12.7492
16	8768474	8878433	+	ABAT	14.7765	8.0117	10.9063	17.0439	12.4263	8.0593	18.8232	8.22534	10.5899	9.5784	14.5966	13.8507	22.723	12.1637
9	107543287	107690437	-	ABCA1	26.5503	84.4117	86.6121	84.6007	126.721	221.399	73.0836	110.473	82.7616	195.101	189.468	136.742	124.631	45.9065
17	67144148	67240957	-	ABCA10	0.506678	0.244044	0.480111	0.501529	0.74892	0.661359	0.679358	0.545335	0.466082	0.058218	0.466426	0.38294	0.334739	1.00284
4	419224	467999	-	ABCA11P	0.742709	0.203683	0.418411	0.683827	0.402571	0.776478	0.612033	0.352338	0.399885	0.264585	0.554173	0.272602	0.719761	0.104398
7	48211055	48687094	+	ABCA13	3.3388	176.005	26.6856	82.4624	57.7263	16.2259	8.04305	35.5254	39.7281	59.6811	13.8639	90.0534	31.098	13.1373
9	139901686	139923375	-	ABCA2	74.346	6.72789	9.54791	7.97202	12.431	11.9337	26.8041	8.21853	9.28102	16.9014	15.8936	7.17172	12.4891	11.0499
16	2325882	2390730	-	ABCA3	1.84929	1.61272	1.20909	0.54533	1.3544	0.319681	0.847934	0.741392	0.718106	0.744534	0.728901	1.6574	0.97722	0.918337
17	67240452	67323275	-	ABCA5	6.45555	8.71692	6.92584	17.3626	8.74059	6.5608	11.8569	8.72432	9.34899	4.25386	6.07359	9.07807	15.244	11.5407
17	67074843	67138037	-	ABCA6	0.267922	0.361064	1.09042	2.82524	0.401298	0.23321	0.238049	0.265665	0.126731	0.229311	0.65156	1.00699	2.41659	0.000370559
19	1040106	1065571	+	ABCA7	133.9	17.5962	7.98423	10.2171	13.7281	15.9625	31.077	16.2192	15.8916	8.93544	6.89749	10.2161	14.2771	17.3849
17	66970629	67057069	-	ABCA9	0.307121	0.12831	0.114146	0.405195	0.108827	0.0893932	0.118676	0.070472	0.0573365	0.126633	0.0458357	0.0239277	0.808261	0.000424775
7	87132333	87342640	-	ABCB1	0.987477	1.46766	4.20562	1.55375	1.15789	1.78472	1.06821	1.18327	1.58113	1.10063	1.17892	0.620939	2.67246	0.506607
1	229652329	229694455	-	ABCB10	6.63573	7.44927	10.2443	62.5668	12.4677	9.55154	15.3215	10.5842	18.7783	6.84859	15.4367	15.3159	21.0372	16.8307
2	169777291	169887835	-	ABCB11	0.351424	0.155564	0.0445325	0.123765	0.0847973	0.0544795	0.178121	0.472787	0.134104	0.147935	0.130598	0.22275	0.105879	0.351498
7	87031012	87105020	-	ABCB4	1.64627	0.321489	1.23059	0.265152	0.128515	4.49562	1.86008	0.540247	0.279406	0.127768	0.361599	0.422085	0.74009	0.134076
7	20655290	20796632	+	ABCB5	0.242866	0.0445666	0.447303	2.16092	1.15719	0.914949	0.106311	0.177535	0.144982	0.000179253	0.0998698	0.0802336	0.182857	0.000335905
2	220074494	220083681	-	ABCB6	1.30321	1.95005	1.49335	5.06563	2.66104	0.626166	0.782071	1.08508	1.57255	1.82098	1.57831	2.11647	0.597681	0.678926
X	74270883	74376119	-	ABCB7	4.72299	4.64177	4.67618	12.6497	3.73086	5.18095	7.01061	5.7706	6.59607	3.51031	3.72269	3.51226	7.67622	6.11997
7	150725509	150744870	+	ABCB8	1.56891	0.356012	1.13241	0.783515	0.452758	0.492075	1.09975	0.726914	0.533132	0.522849	0.952243	0.343402	0.595725	0.730469
12	123405495	123451057	-	ABCB9	0.0445602	0.121145	0.362561	0.0588016	0.0256736	2.46727e-05	0.000405306	0.136758	0.493766	0.214568	0.259164	0.639466	0.0536505	0.163356
16	16043473	16236911	+	ABCC1	24.6642	21.4064	15.342	15.7856	17.7396	15.6937	23.0317	20.4666	16.926	16.9301	15.7412	22.1014	21.3321	23.0205
6	43395279	43418166	+	ABCC10	7.19379	3.39104	3.25437	1.53857	3.5293	4.27157	3.55887	2.97845	3.72459	3.25365	2.94659	2.83539	4.40959	3.06841
16	48199684	48281451	-	ABCC11	0.713928	0.0144646	0.0283611	0.000658586	0.000158292	0.000658586	0.0606004	0.0784664	0.00265559	0.112805	0.0308899	0.106198	1.61101	0.000658586
21	15646120	15673693	+	ABCC13	0.770666	1.19988	0.908711	30.2508	2.92542	5.41754	1.35487	0.648042	12.8386	0.555372	1.28418	3.0804	2.59266	3.8538
10	101542397	101612352	+	ABCC2	4.22478	1.20881	1.55255	2.05064	1.65633	4.94271	4.62515	2.46327	1.7262	3.10047	3.04212	1.32039	3.28457	1.28057
17	48712242	48769615	+	ABCC3	32.5108	28.6159	11.6378	14.1122	19.4386	5.08932	16.8136	8.67556	9.02032	11.4306	7.36317	28.7263	12.2876	9.87325
13	95672083	95953706	-	ABCC4	46.2503	69.7748	71.4269	219.21	114.002	32.9682	58.6043	32.0721	68.5613	29.9075	52.6498	104.726	52.9037	57.8717
3	183637724	183735673	-	ABCC5	10.5446	3.57264	8.27887	23.2393	11.74	14.6011	16.86	3.81751	16.7044	9.85693	17.9312	8.9813	21.5436	17.269
16	16243422	16317329	-	ABCC6	2.63564	1.64351	1.73229	1.21293	0.437133	1.15667	1.10848	2.65465	0.977658	2.87826	1.46819	1.56319	0.762442	0.433664
X	152990311	153010210	+	ABCD1	4.8717	5.01509	3.47456	1.21343	3.83907	3.58057	2.43938	4.89794	3.3863	4.1278	3.44826	4.61147	2.6563	3.48808
12	39943835	40013606	-	ABCD2	2.05939	1.48479	3.39779	6.05325	1.97178	3.8377	2.25986	1.20024	4.83911	2.44767	2.66611	1.58411	3.38135	2.44471
1	94883933	94984220	+	ABCD3	6.46041	5.86281	6.87774	18.0352	5.30076	4.7874	12.0733	8.00053	8.04785	5.22429	6.7251	6.40594	17.4482	9.56176
14	74751972	74769638	-	ABCD4	3.84844	1.55266	1.4965	2.76399	1.15234	1.26703	3.17677	1.63809	1.96417	2.08817	1.36971	1.11814	2.74807	2.62587
4	146019463	146050677	+	ABCE1	10.0532	8.48299	13.5654	15.537	9.70671	9.88136	13.4368	7.32628	10.3194	8.58798	9.86081	7.72457	11.478	12.7798
6	30539219	30559300	+	ABCF1	8.57661	3.8524	7.47429	4.04263	2.7944	6.21992	3.74245	4.59826	6.44374	5.38535	6.11043	5.19806	2.76629	4.78711
7	150908570	150924292	-	ABCF2	2.89141	1.87229	3.38543	3.22011	1.61511	3.46333	2.72791	2.98528	3.45546	3.84401	3.69205	2.00224	3.19711	2.64613
3	183903863	183911796	+	ABCF3	6.97696	2.93499	3.67578	5.2137	2.54064	3.08675	5.30693	3.50839	3.5274	3.53278	2.90153	1.82838	4.00395	3.37241
21	43619799	43717355	+	ABCG1	2.38572	12.3592	12.0022	5.98539	26.0255	23.9409	5.52076	4.85415	9.75417	28.9454	16.5247	13.5817	13.9898	4.4495
4	89011416	89152779	-	ABCG2	1.97128	2.03972	2.80613	35.6318	7.10457	4.57458	3.37178	2.63976	9.69398	1.69452	6.63392	7.55258	4.76712	3.98758
3	111697873	111712216	+	ABHD10	4.17318	4.85337	4.40545	14.9101	5.25947	5.23491	10.4459	5.84962	5.20995	3.38731	4.02569	3.67531	10.2422	6.54933
7	73150425	73153198	-	ABHD11	1.79405	0.531936	0.645474	1.17513	0.814159	0.848146	1.65461	0.31252	0.732374	0.687498	0.788193	1.00807	1.20016	0.753258
20	25275379	25371472	-	ABHD12	1.61217	1.52276	1.67529	1.85383	1.4649	1.44469	1.99505	1.36291	1.21938	1.30704	1.30383	1.2705	2.11419	1.01118
13	108870740	108886592	+	ABHD13	17.1801	19.0738	25.012	67.8018	24.0381	25.1697	39.1652	33.4452	38.6153	25.5366	37.8963	27.3552	76.3976	39.7123
3	52009080	52015213	+	ABHD14A	0.0299676	0.180336	0.326924	0.028251	0.107516	0.0422192	0.000843602	0.166881	1.9079	0.195143	0.154429	0.113071	0.0740843	0.0392478
3	52002526	52008647	-	ABHD14B	1.57967	2.34386	2.95661	0.859755	2.58483	1.81405	1.51318	1.52958	1.86983	1.70179	1.75098	1.71525	1.81384	3.01331
17	27887565	27894056	-	ABHD15	3.1334	1.9111	2.91597	2.84823	1.32283	2.38378	3.7085	2.19721	2.51115	2.92976	2.08547	1.2771	3.15455	3.94349
6	31654732	31671102	-	ABHD16A	14.9535	10.0032	9.67492	12.5249	13.7384	7.4313	15.1367	7.25047	6.39121	11.8911	9.95303	8.63098	12.609	5.24535
19	1876809	1885496	-	ABHD17A	4.10729	4.31349	5.67126	5.1469	5.15108	3.59849	6.24986	3.01576	3.6318	4.70422	4.21606	3.40312	6.36933	5.06602
9	74477368	74526162	-	ABHD17B	3.40866	4.06389	4.03613	9.51549	4.04548	4.52023	7.6501	5.21402	5.11576	3.58786	4.46827	4.60001	10.9465	5.97027
15	80987651	81047963	+	ABHD17C	0.572947	0.847566	0.692187	1.62023	2.11851	0.447748	2.01035	0.556359	0.617647	1.5278	1.27306	0.97023	2.05895	2.00752
4	128886561	128961083	+	ABHD18	9.85777	8.78819	8.10273	14.5673	9.6967	8.54418	11.5986	11.213	10.1927	9.44196	9.93212	8.55683	14.2528	8.68962
15	89631687	89745587	+	ABHD2	216.713	94.04	103.48	258.239	172.763	99.3439	236.26	148.436	231.303	152.856	186.307	100.167	389.871	322.074
18	19230858	19284736	-	ABHD3	28.8138	11.9567	9.55267	32.4006	21.6709	11.5258	25.512	23.5768	18.7542	14.2193	19.307	11.6668	31.3113	14.8623
14	23067147	23081266	+	ABHD4	10.5958	16.267	12.4444	12.3921	20.98	8.02731	14.9056	6.9627	7.61799	16.5684	10.2958	12.0525	12.9401	10.0736
3	43732362	43775864	+	ABHD5	27.345	59.8779	63.3038	89.2643	64.0731	66.4548	80.3951	87.2589	68.3035	57.732	78.2548	73.555	172.423	79.8923
3	58223229	58280464	+	ABHD6	1.32007	0.708296	1.14773	3.59448	0.628879	1.00825	2.79061	0.940182	1.27756	0.386459	1.0107	1.65336	1.93654	2.59045
19	17402940	17414235	-	ABHD8	1.37759	0.412411	0.619833	1.05911	0.447195	1.08636	1.13388	0.73647	1.10322	1.00364	1.21125	0.860801	0.825392	1.33775
10	27035525	27150017	-	ABI1	38.2433	41.6465	41.7152	70.24	48.1534	38.8467	68.8197	42.1422	41.6453	46.0605	46.2357	41.7275	78.4123	53.7428
2	204192962	204312450	+	ABI2	13.566	11.958	11.2559	6.6747	15.8701	4.73504	5.55369	4.82369	7.75131	8.25161	7.71747	11.5069	5.25994	5.39142
17	47287589	47300588	+	ABI3	4.21567	1.75205	2.98729	0.971745	1.00044	2.21849	1.8516	2.08344	2.64343	2.05061	1.78097	1.34701	2.3951	2.43494
9	111696680	111703235	+	ABITRAM	1.57201	2.26792	2.05633	3.3757	2.42297	3.12249	2.87412	2.87617	2.96901	3.13764	3.0607	2.82332	4.55158	2.82038
9	133589268	133763063	+	ABL1	7.56307	5.73599	6.48743	4.62191	3.69612	7.11599	5.34908	7.26021	6.93032	7.46723	5.56157	4.42168	4.47917	7.50979
1	179068465	179198820	-	ABL2	19.5064	16.36	16.4523	23.4877	21.8683	26.9756	15.9872	21.4988	23.542	24.7479	24.1594	16.2248	18.5186	12.0072
10	116190869	116528064	-	ABLIM1	24.6119	22.0444	18.535	20.9668	25.5765	32.1161	17.0391	10.3014	22.7122	25.9057	19.9502	32.0619	13.2877	13.3789
4	7967054	8160541	-	ABLIM2	0.241043	0.0200104	0.102047	0.190929	0.000114422	0.559033	0.267677	0.0567197	0.0195922	0.0272568	0.0143027	0.0767656	0.290188	0.00026678
5	148521010	148640002	+	ABLIM3	21.3694	23.5501	15.489	3.24078	16.8	3.54235	6.60305	6.38699	4.44607	13.3524	8.70218	27.0934	2.59718	7.32937
9	136125788	136150618	-	ABO	1.79268	1.3664	2.5953	0.788718	0.110043	0.859854	1.12614	1.28113	0.564795	1.2862	0.663424	1.66252	0.180001	1.47431
17	906759	1133017	-	ABR	92.6974	25.9645	24.3776	19.5406	32.2928	35.9089	39.2363	30.887	36.8871	40.0528	36.0989	27.6171	36.1267	33.9134
6	139349882	139364440	+	ABRACL	7.34974	5.2601	5.64866	13.49	4.91874	4.95131	10.4905	7.10792	5.68801	6.00065	5.88382	4.49669	7.93659	7.05918
4	84380670	84406254	-	ABRAXAS1	4.44907	5.46108	7.6454	16.3508	4.40079	7.16315	9.38469	7.17994	7.24014	6.0818	7.17823	6.54873	8.29841	8.80055
10	126490388	126525237	+	ABRAXAS2	6.53954	6.36376	7.35938	8.5408	6.10203	8.63542	9.57146	8.25039	6.52489	8.76316	7.40365	4.69298	9.15081	6.98378
6	26597181	26600968	+	ABT1	3.78143	3.06932	4.25931	10.7175	5.34812	6.74343	7.85181	4.6825	6.38021	4.17703	5.77473	2.96858	11.7562	5.52862
3	127391781	127399770	+	ABTB1	67.6415	14.9065	22.036	65.2547	43.0144	33.5799	53.927	18.777	47.7201	24.092	51.5515	38.177	63.4219	35.7376
11	34172534	34379558	-	ABTB2	5.11197	3.46058	0.920273	0.256963	0.877348	0.853389	0.946593	2.84711	0.783872	1.41774	0.507176	1.25221	1.53019	0.276484
3	38164201	38178734	-	ACAA1	23.8404	6.60653	7.39022	20.8725	6.91254	9.1926	22.7308	9.20591	10.9993	12.593	11.6224	8.72327	25.2223	8.56713
18	47308534	47339904	-	ACAA2	4.94526	3.19033	5.38743	10.6342	2.98229	5.357	9.42699	4.228	5.3009	4.31359	4.73938	3.03379	10.254	6.11079
17	35441927	35766928	-	ACACA	7.83013	6.98815	8.168	10.1427	6.77672	6.09922	11.1472	8.9631	6.14792	6.53359	7.62585	6.39559	7.4205	10.817
12	109554392	109706031	+	ACACB	3.64283	1.84681	1.26562	1.8112	2.01091	1.36081	3.31216	1.26899	2.11362	1.60477	1.13501	1.22742	2.59131	5.57346
12	112123857	112194904	+	ACAD10	7.25413	3.97974	3.19778	5.17281	3.6638	4.84136	6.81199	5.18933	4.48875	4.50566	3.98147	3.64834	5.68525	5.00574
3	132276982	132378976	-	ACAD11	1.44262	1.76954	1.65287	2.16829	0.951727	1.39445	2.16283	0.908613	1.73826	1.55754	0.525007	0.373676	2.41733	2.59914
11	134123434	134135747	+	ACAD8	3.55076	2.20037	2.39727	3.74578	1.48822	1.30334	4.45709	2.06397	1.87143	1.70721	1.72598	2.23591	3.89013	2.97973
3	128598333	128631958	+	ACAD9	2.76297	2.33976	2.46667	3.38128	2.15673	2.83682	3.37316	2.5857	2.84941	2.15916	2.23303	2.10085	3.02448	3.57305
1	76190032	76229364	+	ACADM	5.27267	5.82914	5.78194	8.43874	4.36172	3.26456	5.04821	6.76841	4.02064	4.86822	5.13259	5.89201	7.49188	1.70552
12	121163629	121177812	+	ACADS	0.697595	0.37899	0.857872	0.547077	0.392596	0.563108	0.600129	0.500235	0.46592	0.422624	0.709654	0.526853	0.760849	0.252841
10	124768522	124817832	+	ACADSB	3.73379	3.5374	4.5807	6.76559	1.6966	3.25523	6.23581	3.55336	4.8992	4.76049	3.00768	2.80859	7.86771	7.97368
17	7120444	7128587	+	ACADVL	26.5444	8.81972	10.5883	21.0861	11.94	11.5238	18.8544	8.81542	15.6313	9.11698	11.9796	11.2933	16.5612	13.9592
17	7239848	7254797	+	ACAP1	55.918	14.7769	15.9797	18.9616	19.7279	16.596	30.3747	13.6942	17.0788	22.4711	21.9644	19.5637	24.5588	14.1836
3	194995474	195163750	-	ACAP2	112.554	138.896	117.416	301.658	172.021	150.024	240.224	185.317	181.813	200.578	182.098	135.513	366.762	213.394
1	1227771	1243311	-	ACAP3	2.59593	0.725083	0.818921	0.990241	0.632495	1.1492	1.59168	0.997784	0.98331	0.717674	0.922803	0.987367	0.767957	1.35081
11	107992294	108018329	+	ACAT1	3.02011	2.15975	3.13812	3.53507	2.68039	1.89824	3.94338	2.20793	1.83353	2.13632	2.85745	2.38474	2.46227	2.81697
6	160183077	160200145	+	ACAT2	1.60878	1.83744	2.06922	3.47794	1.34045	1.77784	2.54853	2.49212	1.70058	2.2428	1.98839	1.6458	2.16773	1.81344
1	226332380	226374443	-	ACBD3	10.3533	9.65403	10.6697	13.6432	9.72396	13.4784	15.7562	13.1242	11.3763	10.9669	12.2667	10.2198	16.2958	13.8651
17	43209986	43221544	+	ACBD4	0.491804	0.389287	0.620027	0.744024	0.376188	0.403652	0.474236	0.560823	0.680601	0.131391	0.370353	0.459205	0.667993	0.599872
10	27471767	27531041	-	ACBD5	11.1187	10.5624	9.17207	19.4327	12.2419	10.6161	15.7272	13.4938	12.3116	11.2091	10.6907	7.97813	18.552	12.2595
1	180257365	180471713	-	ACBD6	0.848603	0.843518	1.23652	2.62742	0.77598	1.72308	1.90502	0.869228	1.17352	0.896108	1.11109	1.13779	1.00706	1.93141
11	44087820	44105787	+	ACCS	0.676456	0.823352	0.528508	2.02123	0.975679	0.26662	0.831818	0.225193	0.565837	0.368593	0.276598	0.578264	0.576329	0.723401
11	44069531	44081528	+	ACCSL	0.309994	0.488607	0.515655	1.78957	0.475746	0.284769	0.499164	0.261745	0.340437	0.143985	0.244146	0.531608	0.349929	0.215341
16	67691415	67694164	-	ACD	1.22202	0.642095	0.768851	0.380598	0.912152	0.812566	1.29777	0.806479	0.57168	0.807535	1.08582	0.888649	1.07466	1.16734
17	61554422	61575735	+	ACE	0.534284	0.125888	0.519851	0.376131	0.000208326	0.0415123	0.159744	0.206329	0.176363	0.543802	0.0390864	0.139766	0.268156	0.0595527
9	19409007	19452503	+	ACER2	5.29873	3.99173	4.49396	4.62752	4.26599	1.09473	4.67727	1.63764	1.27778	2.76543	2.44137	3.41473	2.69793	1.20577
11	76571962	76737842	+	ACER3	35.3687	22.6425	19.0796	33.1556	16.7726	14.5332	38.2905	22.7826	21.9956	16.4368	19.2225	32.9796	30.1672	40.04
7	100487615	100494615	-	ACHE	0.0447821	0.355636	0.214311	0.362974	1.47078	0.0593822	0.000846679	0.182491	12.6628	0.445064	0.744107	1.40717	0.0738151	0.167047
14	23527774	23564824	-	ACIN1	77.0634	21.9257	25.4871	11.9744	23.3916	43.0529	29.6374	28.1052	30.2853	32.5632	33.6495	27.098	17.736	34.2545
1	159174665	159176291	+	ACKR1	0.242677	0.783029	0.8387	4.05048	2.93596	1.49208	0.343888	0.636287	2.22547	0.860357	1.56001	1.22343	0.785166	0.444946
3	42850937	42908779	+	ACKR2	0.26265	0.458714	1.46405	1.07818	0.160516	0.880242	0.182027	0.218132	0.0646777	0.179322	0.378994	1.37091	0.746577	8.08131e-05
2	237478468	237490995	+	ACKR3	0.22922	0.144821	0.381902	0.604851	0.128543	0.0967849	0.527889	0.166372	0.241217	0.149585	0.206595	0.12674	1.03462	0.416757
17	40023170	40075276	-	ACLY	35.1429	25.1142	25.2443	38.3578	24.1361	34.0766	49.079	35.4833	32.2696	31.4606	30.995	24.8546	44.9871	48.3044
9	32384601	32454767	+	ACO1	2.19462	2.39085	1.72787	3.63782	2.1283	1.87425	2.28882	1.52845	3.18257	1.68972	1.3079	1.82058	2.61612	3.65839
22	41865121	41924979	+	ACO2	13.9022	8.40646	10.7475	13.8999	9.11834	10.9289	8.79299	10.5689	17.8166	9.95767	12.1407	10.2029	12.1835	11.9388
13	77522646	77532774	+	ACOD1	0.166357	0.569535	0.000112091	0.000184119	0.0762702	0.000184119	5.43126e-05	0.240404	0.00949892	0.0798802	8.92134e-05	0.000112091	0.000184119	0.000184119
14	74003847	74010501	+	ACOT1	2.60296e-05	0.00243385	0.0186785	0.0134686	0.01156	0.0241653	0.000388723	0.0129564	0.136169	4.10904e-06	0.00243385	0.00742914	0.0304933	0.078905
1	55013901	55104866	+	ACOT11	0.801329	0.687033	0.214737	0.881295	0.40934	1.00726	0.102256	0.180696	0.263342	0.285861	0.148619	0.733725	0.904561	0.000184931
6	24667263	24705296	+	ACOT13	2.58801	2.87886	3.88019	3.3969	2.79867	2.78965	1.98369	3.28192	4.55027	4.66299	4.74627	4.15273	3.25672	3.06476
14	74034324	74042363	+	ACOT2	0.302553	0.614318	0.791108	0.417728	0.360645	0.284219	0.58664	0.345166	0.31706	0.638433	0.393046	0.45565	0.826913	0.502315
1	6324332	6453827	-	ACOT7	1.46339	1.94484	1.15703	1.21927	2.03006	0.602208	1.12327	0.47133	0.889013	1.12168	0.778197	2.26929	0.545798	1.6992
20	44470360	44486032	-	ACOT8	1.79714	1.38396	1.30767	2.92793	2.03157	1.20806	2.84462	1.12961	1.19049	1.83126	1.55599	1.23828	2.20125	1.50827
X	23719174	23761394	-	ACOT9	13.1735	7.98958	5.91019	14.3341	9.05539	6.88985	14.6608	10.0854	7.6375	9.97637	9.68778	9.78805	12.3503	8.25693
17	73937592	73975248	-	ACOX1	67.4964	47.8223	62.0642	139.674	74.6853	61.3403	134.746	55.8914	90.605	89.8839	98.8913	66.0491	215.583	132.104
3	58490863	58522918	-	ACOX2	0.0240919	0.0204946	0.20997	0.0740983	5.61033e-05	0.037249	0.189384	0.111075	0.0393835	0.106523	0.0291701	0.0626955	0.193084	0.374196
4	8368009	8442453	-	ACOX3	4.25349	1.7701	2.25533	3.16493	1.68153	2.3561	3.81162	2.19444	2.40307	2.07881	2.28537	1.90254	2.34485	3.41404
2	111490150	111876126	+	ACOXL	0.0602264	0.355057	0.182605	0.0450445	0.189909	0.0442624	0.0008993	0.261154	1.25196	0.618624	0.297034	0.644731	0.0211587	0.0167411
2	264869	278283	+	ACP1	14.8995	9.67636	13.831	121.09	20.5632	8.67059	20.5575	5.39998	27.5308	7.20655	10.953	10.4484	22.8005	21.3649
11	47260853	47270399	-	ACP2	4.01649	1.88182	1.60859	1.15078	0.844595	1.5425	1.43224	2.3087	2.43774	1.64504	1.46706	2.45428	1.6351	1.9539
3	132036251	132087147	+	ACP3	19.7174	6.36788	8.67756	40.1162	5.25697	10.7798	22.8167	11.8725	20.5511	10.6065	14.8189	15.0584	39.1698	14.2557
19	11685475	11689791	-	ACP5	1.60085	1.46876	1.8565	7.9226	4.19231	2.3379	1.04395	0.662381	4.00339	0.966621	1.76057	2.15776	0.727047	1.6564
1	147114029	147142647	-	ACP6	3.30666	8.59854	5.73467	4.47886	8.29761	2.57477	3.04954	4.25367	4.51643	10.0446	6.62685	12.0551	5.53355	3.33637
12	6747241	6756599	-	ACRBP	23.9597	11.1755	15.1296	15.7483	16.9722	2.3391	14.7101	5.39619	4.8724	9.79355	9.39392	8.32135	9.75389	5.05191
15	78459810	78526908	-	ACSBG1	4.7107	0.630381	0.65225	3.41666	0.351503	0.1972	0.687846	0.354371	0.140578	0.169963	0.306735	1.19059	3.8965	0.000235099
17	48503519	48552207	+	ACSF2	1.98206	1.57209	0.984888	0.654036	0.745216	0.63664	0.771253	0.781346	0.90472	0.770129	0.370898	0.587827	0.879058	0.560593
16	89160260	89222642	+	ACSF3	4.61304	3.46104	3.74704	3.94605	2.65303	4.41104	3.6743	4.46209	4.65193	3.52627	3.0394	2.29457	3.62166	4.15356
4	185676749	185747269	-	ACSL1	594.086	354.139	309.457	957.672	504.79	388.779	884.217	516.652	595.289	654.981	671.691	522.058	1557.92	583.313
2	223725754	223809357	+	ACSL3	10.925	30.604	19.5901	37.7062	22.0603	21.133	29.4184	37.7824	23.9462	26.0464	22.1077	27.9975	47.6418	31.7583
X	108884564	108976622	-	ACSL4	52.4228	79.1986	55.3074	190.572	99.9461	95.2438	168.901	115.465	106.373	95.6451	96.7763	84.2469	343.507	132.375
10	114133874	114188139	+	ACSL5	12.2826	16.0147	12.1784	13.8655	12.5288	13.4592	13.6248	16.8845	11.3187	18.5494	10.4177	7.52332	12.0333	10.7075
5	131285667	131347762	-	ACSL6	2.17102	2.4835	2.61952	37.8247	6.55536	4.50658	2.13175	2.32804	23.1674	2.43736	4.55649	4.42086	5.03629	9.19684
16	20634557	20709111	-	ACSM1	6.12222e-05	1.13401	0.00790483	0.014646	0.0300821	0.025707	0.00016334	0.0401486	0.028567	0.021012	0.000452052	0.0296603	0.0333276	6.12222e-05
